O que é uma <b>teoria</b> nas relações internacionais?	Uma <b>lente</b> que organiza e simplifica a realidade para analisá-la. Do grego <i>theoros</i> (espectador). Não há teoria melhor em absoluto, cada uma foca certos aspectos.	TeoriasRI::UnidadeI
Quando e onde nasceu a disciplina <b>Relações Internacionais</b>?	Em <b>1919</b>, na <b>Universidade de Gales</b> (Reino Unido), após a 1ª Guerra Mundial, para entender as causas da guerra e evitá-la.	TeoriasRI::UnidadeI
Qual foi o <b>1º grande debate</b> das RI?	<b>Realismo x Liberalismo</b>: divergência sobre o padrão do sistema internacional, conflito ou cooperação.	TeoriasRI::UnidadeI
Qual foi o <b>2º debate</b> das RI?	<b>Tradicionalismo x Behaviorismo</b> (anos 1950-60): debate de <b>método</b>. Tradicionalistas valorizam a história; behavioristas querem método das ciências exatas.	TeoriasRI::UnidadeI
Qual foi o <b>3º debate</b> das RI?	O <b>neo-neo</b> (anos 1970): entre <b>neorrealismo e neoliberalismo</b>.	TeoriasRI::UnidadeI
Qual foi o <b>4º debate</b> das RI?	<b>Racionalistas x reflexivistas</b> (anos 1980), também chamado <b>positivismo x pós-positivismo</b>. É um debate <b>epistemológico</b> (como se estuda o tema).	TeoriasRI::UnidadeI
No <b>realismo</b>, qual a variável central e quem é o ator principal?	A variável central é o <b>poder</b>; o ator central é o <b>Estado</b>. Foco nas causas da guerra e na estabilidade.	TeoriasRI::UnidadeI
Cite os conceitos centrais do <b>realismo</b>.	<b>Anarquia</b>, poder, <b>interesse nacional</b>, <b>equilíbrio (balança) de poder</b>, autoajuda e jogo de <b>soma zero</b>.	TeoriasRI::UnidadeI
O que é o <b>dilema de segurança</b> (paradoxo da política internacional)?	Quando um Estado tenta aumentar sua segurança, gera insegurança nos outros, que também se armam. A busca por segurança alimenta a insegurança geral.	TeoriasRI::UnidadeI
Diferencie <b>high politics</b> e <b>low politics</b> no realismo.	<b>High politics</b>: segurança e defesa (prioritárias). <b>Low politics</b>: economia e temas sociais (secundárias).	TeoriasRI::UnidadeI
Qual a contribuição de <b>Tucídides</b> ao realismo?	Na <i>História da Guerra do Peloponeso</i> (Atenas x Esparta), mostra que o <b>poder pauta as relações</b> e introduz a ideia de <b>equilíbrio de poder</b>.	TeoriasRI::UnidadeI
O que o realismo herda de <b>Maquiavel</b>?	De <i>O Príncipe</i>: a <b>separação entre moral e política</b>, o cálculo racional e o poder como centro (a política é a arte de conquistar e manter o poder).	TeoriasRI::UnidadeI
O que o realismo herda de <b>Hobbes</b>?	De <i>Leviatã</i> (1651): o <b>estado de natureza</b> (guerra de todos contra todos, o homem é o lobo do homem) e o <b>contrato social</b>. Sem um Leviatã acima dos Estados, prevalece a autoajuda.	TeoriasRI::UnidadeI
Quem é <b>Edward Carr</b> e qual sua obra?	<i>Vinte anos de crise (1919-1939)</i>, de 1939. Critica a utopia liberal da Liga das Nações e divide o poder em <b>militar, econômico e sobre a opinião pública</b>.	TeoriasRI::UnidadeI
Quem é o <b>pai do realismo clássico</b> e qual obra?	<b>Hans Morgenthau</b>, em <i>A política entre as nações</i> (1948). Formula os <b>6 princípios do realismo</b>: o interesse é definido em termos de <b>poder</b>.	TeoriasRI::UnidadeI
Qual a contribuição de <b>Raymond Aron</b>?	Em <i>Paz e guerra entre as nações</i> (1962), retrata as RI por duas figuras: o <b>diplomata</b> (cooperação) e o <b>soldado</b> (competição).	TeoriasRI::UnidadeI
