O que é <b>diplomacia política</b> nas RI?	O conjunto de interações entre <b>Estados, OIs, ONGs e sociedade civil</b> sobre temas comuns (guerra, paz, comércio, finanças, meio ambiente, direitos humanos). Os Estados são os principais atores, mas não os únicos.	Diplomacia::UnidadeI
Qual tratado funda o <b>sistema de Estados soberanos</b>?	O <b>Tratado de Vestfália (1648)</b>, fim da Guerra dos Trinta Anos. Bases: igualdade jurídica entre Estados, territorialidade e não intervenção; e o equilíbrio de poder.	Diplomacia::UnidadeI
Qual a <b>doutrina precursora</b> das OIs e seu principal autor?	O <b>liberalismo clássico</b>, com destaque para <b>Kant</b> (<i>À paz perpétua</i>): defende uma federação de Estados e um direito cosmopolita para alcançar a paz perpétua.	Diplomacia::UnidadeI
O que é uma <b>organização internacional</b> (OI)?	Uma <b>associação voluntária de Estados</b> criada por um <b>tratado constitutivo</b>, com personalidade jurídica e vontade próprias. Não é a mera soma das vontades dos Estados.	Diplomacia::UnidadeI
Quais os <b>elementos constitutivos</b> de uma OI?	Membros; Estados-membros com <b>titularidades desiguais</b>; tratado constitutivo; interesses comuns; e <b>órgãos permanentes</b>.	Diplomacia::UnidadeI
Quais as <b>três características</b> de uma OI?	<b>Multilateralidade</b>, <b>permanência</b> e <b>institucionalização</b> (que pressupõe voluntarismo, previsibilidade e soberania da OI).	Diplomacia::UnidadeI
Diferencie OI de <b>cooperação</b> e de <b>integração</b>.	<b>Cooperação</b>: os Estados colaboram, mas a OI não age por eles (ex.: ONU). <b>Integração</b>: a OI pode atuar em nome dos Estados (ex.: União Europeia).	Diplomacia::UnidadeI
As OIs têm forças militares próprias?	<b>Não.</b> Elas recorrem às forças dos Estados-membros. Nascem com poder direto (recursos, orçamento) e indireto (prestígio).	Diplomacia::UnidadeI
O que foram os <b>14 Pontos de Wilson</b> (1918)?	Programa de paz do presidente dos EUA: diplomacia em vez de guerra, livre comércio, <b>autodeterminação dos povos</b> e a criação da <b>Liga das Nações</b> (14º ponto).	Diplomacia::UnidadeI
Como e quando foi criada a <b>Liga das Nações</b>?	Pelo <b>Tratado de Versalhes (1919)</b>, fim da 1ª Guerra. Sede em <b>Genebra</b>; baseada na <b>segurança coletiva</b> e na igualdade entre Estados.	Diplomacia::UnidadeI
Quais os <b>órgãos</b> da Liga das Nações e como decidia?	Conselho (França, Reino Unido e URSS permanentes, <b>sem veto</b>), Assembleia e Secretariado. As decisões eram por <b>unanimidade</b>, o que travava a ação.	Diplomacia::UnidadeI
Por que a <b>Liga das Nações fracassou</b>?	Faltava poder coercitivo (sanções), os <b>EUA não entraram</b> (Senado não ratificou), saída fácil, e o clima de revanchismo. Foi incapaz de conter Alemanha, Itália e Japão. Encerrou em 1947.	Diplomacia::UnidadeI
Qual foi a relação do <b>Brasil</b> com a Liga das Nações?	O Brasil foi membro fundador (1919), mas <b>retirou-se em 1926</b> (governo Artur Bernardes) ao ter negado um assento permanente no Conselho.	Diplomacia::UnidadeI
Quando e onde a <b>ONU</b> foi criada?	Pela <b>Carta de São Francisco</b>, assinada em 1945; entrou em vigor em <b>24 de outubro de 1945</b>, com 51 Estados fundadores (incluindo o Brasil). Hoje tem <b>193</b>.	Diplomacia::UnidadeI
Quais conferências prepararam a ONU?	Carta do Atlântico (1941), Conferências de Washington e Moscou, <b>Bretton Woods (1944)</b> e <b>Dumbarton Oaks (1944)</b>.	Diplomacia::UnidadeI
Qual o <b>principal propósito</b> da ONU (art. 1º)?	<b>Manter a paz e a segurança internacionais.</b> Também: relações amistosas (autodeterminação), cooperação para problemas econômicos/sociais e direitos humanos, e ser um centro harmonizador.	Diplomacia::UnidadeI
Quais são os <b>6 órgãos principais</b> da ONU?	Conselho de Segurança, Assembleia Geral, <b>Ecosoc</b> (Conselho Econômico e Social), Secretariado, <b>Corte Internacional de Justiça</b> e Conselho de Tutela (suspenso em 1994).	Diplomacia::UnidadeI
Como é composto o <b>Conselho de Segurança</b> da ONU?	15 membros: <b>5 permanentes com poder de veto</b> (EUA, Rússia, China, Reino Unido, França) e <b>10 rotativos</b> (mandato de 2 anos, sem veto).	Diplomacia::UnidadeI
Diferença entre <b>CS</b> e <b>Assembleia Geral</b> da ONU.	O <b>CS</b> emite <b>decisões</b> (impositivas, com sanções) e cuida da paz/segurança. A <b>AG</b> tem um Estado, um voto, e emite <b>resoluções</b> (recomendações, sem imposição).	Diplomacia::UnidadeI
Onde fica a <b>Corte Internacional de Justiça</b> e como é formada?	Em <b>Haia</b> (Holanda); <b>15 juízes</b> com mandato de 9 anos. Só Estados podem ser parte; sua jurisdição depende do consentimento das partes.	Diplomacia::UnidadeI
Como é escolhido o <b>Secretário-geral</b> da ONU e por quanto tempo?	Indicado pelo <b>Conselho de Segurança</b> (decisão unânime) e nomeado pela <b>Assembleia Geral</b>. Mandato de <b>5 anos</b>, renovável uma vez (até 10 anos).	Diplomacia::UnidadeI
